,sex,farminc,age,annhrs,annlabinc,degree,labincbus,yrsexp,yrsftexp,yrsptexp,hrwage,race,region,job
0,male,0.0,34,1600,10000.0,bachelors,0,12.0,12.0,0.0,6.25,white,northeast,sales
1,male,0.0,32,520,9095.0,no_college,0,14.0,11.0,3.0,17.490385055542,black,northcentral,production
2,male,0.0,64,2550,45200.0,no_college,0,39.0,38.0,1.0,17.7254905700684,black,northeast,production
3,male,0.0,50,3072,25000.0,no_college,0,30.0,30.0,0.0,8.13802051544189,white,northcentral,transport
4,male,0.0,26,2100,24500.0,no_college,0,8.0,8.0,0.0,11.6666669845581,white,south,production
5,male,0.0,39,1944,46500.0,advanced_degree,0,15.0,6.0,9.0,23.9197540283203,white,northeast,healthcare
6,male,0.0,40,2024,60000.0,no_college,0,17.0,16.0,1.0,29.6442680358887,white,northeast,constructextractinstall
7,male,0.0,47,2988,39200.0,no_college,0,29.0,3.0,26.0,13.1191434860229,white,northeast,production
8,male,0.0,30,2410,20500.0,no_college,0,12.0,12.0,0.0,8.50622367858887,white,northeast,architect
9,male,0.0,55,1750,33000.0,no_college,0,32.0,32.0,0.0,18.8571434020996,white,northeast,building
10,male,0.0,40,2340,55000.0,no_college,0,17.0,16.0,1.0,23.5042743682861,white,south,constructextractinstall
11,male,0.0,33,600,36000.0,no_college,0,15.0,13.0,2.0,60.0,black,south,production
12,male,0.0,25,2010,30000.0,no_college,0,7.0,5.0,2.0,14.9253730773926,white,west,manager
13,male,0.0,41,1746,22000.0,no_college,0,23.0,19.0,4.0,12.6002292633057,black,northeast,sales
14,male,0.0,27,1350,20000.0,no_college,0,9.0,9.0,0.0,14.8148145675659,white,northcentral,foodcare
15,male,0.0,48,2205,39000.0,no_college,0,29.0,29.0,0.0,17.6870746612549,white,west,manager
16,male,0.0,36,2080,28000.0,no_college,0,11.0,8.89695167541504,2.10304832458496,13.4615383148193,white,west,healthsupport
17,male,0.0,46,1937,35000.0,no_college,0,27.0,27.0,0.0,18.0691795349121,black,south,production
18,male,0.0,30,2400,40000.0,no_college,0,11.0,11.0,0.0,16.6666660308838,white,northeast,constructextractinstall
19,male,0.0,34,2540,30500.0,no_college,0,15.0,15.0,0.0,12.0078744888306,white,northcentral,transport
20,male,0.0,42,1840,60000.0,no_college,0,19.0,19.0,0.0,32.6086959838867,black,south,officeadmin
21,male,0.0,27,2448,38000.0,bachelors,0,9.0,5.0,4.0,15.5228757858276,white,west,manager
22,male,0.0,26,2196,42000.0,no_college,0,7.0,2.0,5.0,19.1256828308105,black,south,artist
23,male,0.0,32,2752,23000.0,no_college,0,13.0,13.0,0.0,8.35755825042725,white,south,architect
24,male,0.0,55,1968,48000.0,no_college,0,37.0,37.0,0.0,24.3902435302734,white,west,constructextractinstall
25,male,0.0,46,3640,26000.0,no_college,0,25.0,25.0,0.0,7.14285707473755,black,south,transport
26,male,0.0,49,1900,63000.0,no_college,0,24.0,18.0,6.0,33.1578941345215,hisp,west,legaleduc
27,male,0.0,25,2171,11640.0,no_college,0,4.0,3.0,1.0,5.36158466339111,black,south,production
28,male,0.0,39,2600,40804.0,no_college,0,21.0,20.0,1.0,15.6938457489014,white,northcentral,production
29,male,0.0,34,2091,26000.0,no_college,0,16.0,16.0,0.0,12.4342422485352,white,northeast,manager
30,male,0.0,33,2016,43000.0,no_college,0,11.0,11.0,0.0,21.3293647766113,white,northcentral,constructextractinstall
31,male,0.0,52,2015,13497.0,no_college,0,33.0,32.0,1.0,6.69826316833496,white,south,production
32,male,0.0,48,2450,95000.0,advanced_degree,0,24.0,23.0,1.0,38.7755088806152,white,northeast,protective
33,male,0.0,31,2880,53000.0,bachelors,0,12.0,10.0,2.0,18.4027786254883,black,south,manager
34,male,0.0,31,2430,43800.0,bachelors,0,8.0,8.0,0.0,18.0246906280518,white,northcentral,sales
35,male,0.0,40,3332,20000.0,no_college,0,22.0,16.0,6.0,6.00240087509155,white,south,sales
