sex,age,annhrs,annlabinc,degree,yrsexp,yrsftexp,yrsptexp,hrwage,race,job,region
1,34,1600,10000.0,1.0,12.0,12.0,0.0,6.25,2,17,1
1,64,2550,45200.0,0.0,39.0,38.0,1.0,17.72549057,0,15,1
1,26,2100,24500.0,0.0,8.0,8.0,0.0,11.66666698,2,15,2
1,39,1944,46500.0,2.0,15.0,6.0,9.0,23.91975403,2,8,1
1,40,2024,60000.0,0.0,17.0,16.0,1.0,29.64426804,2,5,1
1,30,2410,20500.0,0.0,12.0,12.0,0.0,8.506223679,2,0,1
1,55,1750,33000.0,0.0,32.0,32.0,0.0,18.8571434,2,2,1
1,40,2340,55000.0,0.0,17.0,16.0,1.0,23.50427437,2,5,2
1,25,2010,30000.0,0.0,7.0,5.0,2.0,14.92537308,2,12,3
1,41,1746,22000.0,0.0,23.0,19.0,4.0,12.60022926,0,17,1
1,27,1350,20000.0,0.0,9.0,9.0,0.0,14.81481457,2,7,0
1,48,2205,39000.0,0.0,29.0,29.0,0.0,17.68707466,2,12,3
1,36,2080,28000.0,0.0,11.0,9.0,3.0,13.46153831,2,9,3
1,46,1937,35000.0,0.0,27.0,27.0,0.0,18.06917953,0,15,2
1,30,2400,40000.0,0.0,11.0,11.0,0.0,16.66666603,2,5,1
1,34,2540,30500.0,0.0,15.0,15.0,0.0,12.00787449,2,20,0
1,42,1840,60000.0,0.0,19.0,19.0,0.0,32.60869598,0,13,2
1,27,2448,38000.0,1.0,9.0,5.0,4.0,15.52287579,2,12,3
1,26,2196,42000.0,0.0,7.0,2.0,5.0,19.12568283,0,1,2
1,32,2752,23000.0,0.0,13.0,13.0,0.0,8.35755825,2,0,2
1,55,1968,48000.0,0.0,37.0,37.0,0.0,24.39024353,2,5,3
1,49,1900,63000.0,0.0,24.0,18.0,6.0,33.15789413,1,11,3
1,25,2171,11640.0,0.0,4.0,3.0,1.0,5.361584663,0,15,2
1,39,2600,40804.0,0.0,21.0,20.0,1.0,15.69384575,2,15,0
1,34,2091,26000.0,0.0,16.0,16.0,0.0,12.43424225,2,12,1
1,33,2016,43000.0,0.0,11.0,11.0,0.0,21.32936478,2,5,0
1,52,2015,13497.0,0.0,33.0,32.0,1.0,6.698263168,2,15,2
1,31,2880,53000.0,1.0,12.0,10.0,2.0,18.40277863,0,12,2
1,31,2430,43800.0,1.0,8.0,8.0,0.0,18.02469063,2,17,0
1,43,2028,28000.0,0.0,25.0,25.0,0.0,13.80670643,2,5,2
1,41,1928,61500.0,0.0,18.0,16.0,2.0,31.89834023,2,5,1
